DISTRICT.NAME,NEIGHBORHOOD.NAME,WEEKDAY,MONTH,DAY,HOUR,PART.OF.THE.DAY,MILD.INJURIES,SERIOUS.INJURIES,VICTIMS,VEHICLES.INVOLVED,LONGITUDE,LATITUDE
Sant Andreu,el Congrés i els Indians,Friday,March,31,10,Morning,0,0,0,1,2.183165,41.427589
Sant Andreu,la Sagrera,Thursday,October,26,17,Afternoon,1,0,1,3,2.186909,41.420327
Sant Andreu,la Sagrera,Friday,June,2,10,Morning,0,0,0,1,2.190461,41.424035
Sant Andreu,la Sagrera,Friday,February,3,12,Morning,1,0,1,2,2.191137,41.4221
Sant Andreu,la Sagrera,Wednesday,June,21,14,Afternoon,1,0,1,2,2.186016,41.423213
Sant Andreu,la Sagrera,Thursday,August,31,14,Afternoon,1,0,1,2,2.18646,41.421062
Sant Andreu,la Sagrera,Saturday,May,27,0,Night,1,0,1,2,2.191268,41.417078
Sant Andreu,la Sagrera,Thursday,August,10,18,Afternoon,0,0,0,1,2.188659,41.422473
Sant Andreu,la Sagrera,Friday,December,29,10,Morning,1,0,1,1,2.188881,41.424877
Sant Andreu,la Sagrera,Wednesday,February,22,4,Night,1,0,1,2,2.164261,41.436279
Sant Andreu,la Sagrera,Friday,December,1,14,Afternoon,2,0,2,2,2.186555,41.424945
Sant Andreu,Sant Andreu,Thursday,December,21,8,Morning,1,0,1,1,2.19322,41.434537
Sant Andreu,Sant Andreu,Friday,November,24,10,Morning,1,0,1,2,2.192735,41.430073
Sant Andreu,Sant Andreu,Monday,December,18,23,Night,1,0,1,1,2.193612,41.43718
Sant Andreu,Sant Andreu,Thursday,February,16,20,Afternoon,1,0,1,1,2.193703,41.430046
Sant Andreu,Navas,Wednesday,September,13,15,Afternoon,2,0,2,2,2.185672,41.419629
Sant Andreu,Navas,Tuesday,October,17,20,Afternoon,1,0,1,2,2.189084,41.418741
Sant Andreu,Navas,Thursday,November,16,15,Afternoon,1,0,1,2,2.184025,41.418287
Sant Andreu,Navas,Thursday,September,28,17,Afternoon,1,0,1,2,2.190825,41.417622
Sant Andreu,Navas,Thursday,November,30,18,Afternoon,1,0,1,2,2.18288,41.419443
Sant Andreu,Navas,Thursday,October,5,8,Morning,1,0,1,2,2.180727,41.418574
Sant Andreu,Navas,Tuesday,October,31,20,Afternoon,1,0,1,2,2.191189,41.415444
Sant Andreu,Navas,Tuesday,July,4,18,Afternoon,1,0,1,1,2.188557,41.417468
Sant Andreu,Navas,Tuesday,November,21,13,Morning,1,0,1,2,2.180591,41.41689
Sant Andreu,Navas,Wednesday,November,22,16,Afternoon,2,0,2,2,2.184659,41.421937
Sant Andreu,Navas,Monday,June,12,9,Morning,1,0,1,2,2.185076,41.421998
Sant Andreu,Sant Andreu,Thursday,November,2,18,Afternoon,1,0,1,2,2.183539,41.431665
Sant Andreu,Sant Andreu,Friday,June,16,12,Morning,2,0,2,2,2.183507,41.43247
Sant Andreu,Sant Andreu,Thursday,June,15,5,Night,1,0,1,2,2.183658,41.434136
Sant Andreu,Sant Andreu,Wednesday,December,27,17,Afternoon,1,0,1,2,2.190616,41.445327
Sant Andreu,Sant Andreu,Friday,October,20,7,Morning,1,0,1,2,2.187774,41.445699
Sant Andreu,Sant Andreu,Wednesday,June,21,18,Afternoon,1,0,1,2,2.188536,41.446756
Sant Andreu,Sant Andreu,Wednesday,November,15,10,Morning,1,0,1,2,2.184841,41.438009
Sant Andreu,Sant Andreu,Saturday,January,7,18,Afternoon,2,0,2,3,2.192724,41.444505
Sant Andreu,Sant Andreu,Friday,April,21,15,Afternoon,0,0,0,2,2.187373,41.441288
Sant Andreu,Sant Andreu,Friday,November,24,15,Afternoon,1,0,1,2,2.18851,41.439448
Sant Andreu,Sant Andreu,Thursday,September,7,15,Afternoon,3,0,3,4,2.193426,41.447055
Sant Andreu,Sant Andreu,Sunday,November,5,16,Afternoon,0,0,0,1,2.195086,41.446978
Sant Andreu,Sant Andreu,Saturday,September,16,19,Afternoon,2,0,2,2,2.187422,41.447051
Sant Andreu,Sant Andreu,Thursday,November,16,9,Morning,1,1,2,1,2.191889,41.442198
Sant Andreu,Sant Andreu,Monday,June,26,15,Afternoon,1,0,1,2,2.186928,41.440945
Sant Andreu,Sant Andreu,Wednesday,January,4,12,Morning,3,0,3,4,2.188536,41.446756
Sant Andreu,la Trinitat Vella,Monday,June,5,6,Morning,1,0,1,2,2.193426,41.447055
Sant Andreu,la Trinitat Vella,Tuesday,April,18,9,Morning,2,0,2,2,2.14429,41.428936
Sant Andreu,el Bon Pastor,Wednesday,December,6,19,Afternoon,1,0,1,2,2.197399,41.440576
Sant Andreu,la Trinitat Vella,Wednesday,March,8,16,Afternoon,1,0,1,3,2.188548,41.448795
Sant Andreu,la Trinitat Vella,Monday,May,29,20,Afternoon,2,0,2,2,2.189605,41.446954
Sant Andreu,la Trinitat Vella,Saturday,May,27,20,Afternoon,2,0,2,2,2.193426,41.447055
Sant Andreu,la Trinitat Vella,Thursday,December,14,17,Afternoon,1,0,1,2,2.190589,41.448544
Sant Andreu,Baró de Viver,Monday,May,22,20,Afternoon,2,0,2,2,2.198414,41.443049
Sant Andreu,el Bon Pastor,Monday,February,27,13,Morning,2,0,2,2,2.199734,41.442816
Sant Andreu,el Bon Pastor,Tuesday,July,4,18,Afternoon,1,0,1,2,2.203092,41.441941
Sant Andreu,Baró de Viver,Thursday,March,16,22,Night,1,0,1,1,2.195909,41.449373
Sant Andreu,Baró de Viver,Friday,March,31,13,Morning,1,0,1,1,2.19356,41.449284
Sant Andreu,el Bon Pastor,Thursday,February,16,22,Night,1,0,1,2,2.196839,41.438823
Sant Andreu,el Bon Pastor,Tuesday,January,24,21,Afternoon,2,0,2,1,2.196782,41.441937
Sant Andreu,el Bon Pastor,Monday,May,8,21,Afternoon,1,0,1,2,2.199734,41.442816
Sant Andreu,Sant Andreu,Sunday,July,2,21,Afternoon,1,0,1,2,2.185821,41.43028
Sant Andreu,la Trinitat Vella,Sunday,January,29,3,Night,1,0,1,2,2.184996,41.427919
Sant Andreu,Sant Andreu,Saturday,March,4,2,Night,3,0,3,3,2.183502,41.432242
Sant Andreu,el Bon Pastor,Tuesday,May,16,16,Afternoon,1,0,1,2,2.194653,41.435309
Sant Andreu,el Bon Pastor,Tuesday,May,9,21,Afternoon,1,0,1,2,2.194653,41.435309
Sant Andreu,el Bon Pastor,Tuesday,December,5,20,Afternoon,1,0,1,2,2.194653,41.435309
Sant Andreu,el Bon Pastor,Tuesday,December,19,23,Night,0,0,0,1,2.199325,41.430396
Sant Andreu,el Bon Pastor,Wednesday,July,26,20,Afternoon,1,0,1,2,2.202239,41.433656
Sant Andreu,el Bon Pastor,Tuesday,October,10,18,Afternoon,0,0,0,1,2.205826,41.443488
Sant Andreu,el Bon Pastor,Tuesday,October,17,12,Morning,1,0,1,2,2.207175,41.442209
Sant Andreu,el Bon Pastor,Friday,April,14,5,Night,1,0,1,2,2.2018,41.392004
Sant Andreu,el Bon Pastor,Thursday,March,2,9,Morning,1,0,1,2,2.199734,41.442816
Sant Andreu,el Bon Pastor,Thursday,May,4,17,Afternoon,1,0,1,2,2.206905,41.436459
Sant Andreu,el Bon Pastor,Friday,May,12,11,Morning,1,0,1,2,2.205325,41.443898
Sant Andreu,el Bon Pastor,Friday,May,5,13,Morning,1,0,1,2,2.202803,41.44314
Sant Andreu,el Congrés i els Indians,Saturday,June,10,13,Morning,2,0,2,4,2.180743,41.427769
Sant Andreu,el Congrés i els Indians,Tuesday,June,20,21,Afternoon,1,0,1,2,2.180743,41.427769
Sant Andreu,el Congrés i els Indians,Sunday,July,2,23,Night,2,0,2,1,2.179751,41.421475
Sant Andreu,el Congrés i els Indians,Thursday,March,9,18,Afternoon,1,0,1,2,2.181236,41.424729
Sant Andreu,el Congrés i els Indians,Wednesday,November,29,16,Afternoon,2,0,2,1,2.178274,41.42678
Sant Andreu,el Congrés i els Indians,Sunday,January,29,19,Afternoon,3,0,3,1,2.179219,41.425785
Sant Andreu,el Congrés i els Indians,Friday,December,1,17,Afternoon,1,0,1,1,2.180131,41.425781
Sant Andreu,la Sagrera,Tuesday,April,18,12,Morning,1,0,1,1,2.186927,41.422864
Sant Andreu,la Sagrera,Thursday,November,23,16,Afternoon,1,0,1,3,2.186594,41.423374
Sant Andreu,la Sagrera,Sunday,April,9,11,Morning,1,0,1,2,2.190994,41.42596
Sant Andreu,la Sagrera,Saturday,December,23,4,Night,0,0,0,2,2.192041,41.424035
Sant Andreu,la Sagrera,Wednesday,November,15,21,Afternoon,1,0,1,1,2.191526,41.417493
Sant Andreu,la Sagrera,Sunday,May,21,20,Afternoon,2,0,2,2,2.189368,41.418729
Sant Andreu,Sant Andreu,Thursday,June,15,10,Morning,0,0,0,1,2.192362,41.438162
Sant Andreu,Sant Andreu,Friday,February,3,17,Afternoon,1,0,1,1,2.192359,41.428488
Sant Andreu,Sant Andreu,Wednesday,August,30,1,Night,1,0,1,1,2.194272,41.446056
Sant Andreu,Sant Andreu,Friday,December,1,12,Morning,1,0,1,1,2.19113,41.437669
Sant Andreu,Navas,Wednesday,April,19,17,Afternoon,1,0,1,2,2.183923,41.42088
Sant Andreu,Navas,Thursday,May,18,16,Afternoon,1,0,1,1,2.191189,41.415444
Sant Andreu,Navas,Wednesday,May,10,14,Afternoon,1,0,1,2,2.191268,41.417078
Sant Andreu,Navas,Friday,February,10,14,Afternoon,1,0,1,2,2.186912,41.417237
Sant Andreu,Navas,Friday,July,7,0,Night,0,1,1,2,2.189015,41.415391
Sant Andreu,Sant Andreu,Sunday,January,8,12,Morning,2,0,2,1,2.194034,41.43164
Sant Andreu,Sant Andreu,Sunday,March,26,20,Afternoon,1,0,1,2,2.190771,41.417254
Sant Andreu,Navas,Friday,March,31,7,Morning,0,0,0,2,2.180552,41.420826
Sant Andreu,Navas,Wednesday,July,5,16,Afternoon,1,0,1,1,2.184529,41.422214
Sant Andreu,Sant Andreu,Friday,February,24,21,Afternoon,1,0,1,2,2.187473,41.432321
Sant Andreu,Sant Andreu,Wednesday,April,5,18,Afternoon,0,0,0,2,2.184608,41.430172
Sant Andreu,Sant Andreu,Saturday,July,1,20,Afternoon,5,0,5,3,2.182477,41.432669
Sant Andreu,Sant Andreu,Sunday,December,10,14,Afternoon,1,0,1,2,2.182477,41.432669
Sant Andreu,Sant Andreu,Tuesday,August,8,6,Morning,0,0,0,3,2.183805,41.433783
Sant Andreu,Sant Andreu,Wednesday,September,13,10,Morning,1,0,1,2,2.184402,41.436613
Sant Andreu,Sant Andreu,Friday,February,24,15,Afternoon,1,0,1,1,2.18658,41.441877
Sant Andreu,Sant Andreu,Friday,June,9,16,Afternoon,1,0,1,2,2.190378,41.445668
Sant Andreu,Sant Andreu,Wednesday,April,26,15,Afternoon,1,0,1,2,2.189949,41.446737
Sant Andreu,Sant Andreu,Monday,January,23,21,Afternoon,1,0,1,2,2.189435,41.441978
Sant Andreu,Sant Andreu,Friday,October,20,7,Morning,1,0,1,5,2.193281,41.447326
Sant Andreu,Sant Andreu,Monday,October,2,14,Afternoon,1,0,1,2,2.189605,41.446954
Sant Andreu,Sant Andreu,Wednesday,November,15,15,Afternoon,1,0,1,2,2.189811,41.447029
Sant Andreu,Sant Andreu,Tuesday,June,27,7,Morning,1,0,1,2,2.193018,41.442271
Sant Andreu,Sant Andreu,Saturday,January,14,4,Night,1,0,1,1,2.193281,41.447326
Sant Andreu,Sant Andreu,Wednesday,October,4,13,Morning,2,0,2,2,2.191377,41.445742
Sant Andreu,la Trinitat Vella,Thursday,July,20,18,Afternoon,1,0,1,2,2.199718,41.448662
Sant Andreu,la Trinitat Vella,Tuesday,August,1,0,Night,1,0,1,1,2.195909,41.449373
Sant Andreu,la Trinitat Vella,Thursday,August,31,15,Afternoon,2,0,2,3,2.193426,41.447055
Sant Andreu,el Bon Pastor,Saturday,March,25,18,Afternoon,2,0,2,1,2.199734,41.442816
Sant Andreu,la Trinitat Vella,Tuesday,November,21,12,Morning,1,0,1,2,2.193426,41.447055
Sant Andreu,la Trinitat Vella,Saturday,April,29,13,Morning,1,0,1,2,2.189605,41.446954
Sant Andreu,la Trinitat Vella,Tuesday,August,15,7,Morning,1,0,1,2,2.190521,41.446929
Sant Andreu,el Bon Pastor,Tuesday,July,11,13,Morning,1,0,1,2,2.199765,41.443622
Sant Andreu,Baró de Viver,Thursday,August,10,20,Afternoon,1,0,1,2,2.200259,41.448656
Sant Andreu,Baró de Viver,Tuesday,December,26,21,Afternoon,1,0,1,1,2.200801,41.44758
Sant Andreu,el Bon Pastor,Tuesday,July,18,21,Afternoon,2,0,2,2,2.195479,41.438678
Sant Andreu,el Bon Pastor,Friday,June,30,13,Morning,2,0,2,2,2.196796,41.442581
Sant Andreu,la Trinitat Vella,Monday,February,6,8,Morning,2,0,2,2,2.195784,41.447682
Sant Andreu,el Bon Pastor,Monday,September,4,15,Afternoon,1,0,1,1,2.199614,41.439114
Sant Andreu,el Bon Pastor,Wednesday,November,15,13,Morning,1,0,1,3,2.202597,41.444644
Sant Andreu,el Bon Pastor,Thursday,November,23,21,Afternoon,1,0,1,2,2.199734,41.442816
Sant Andreu,la Trinitat Vella,Monday,November,6,14,Afternoon,3,0,3,3,2.1885,41.449326
Sant Andreu,Baró de Viver,Thursday,May,11,17,Afternoon,2,0,2,2,2.198807,41.4453
